CH1;CH2;PPG
146.36183;127.8182;586.9114
146.35638;127.81119;586.9087
146.35374;127.811905;586.90283
146.35373;127.80876;586.90466
146.35806;127.81234;586.90796
146.36061;127.81481;586.9106
146.36896;127.822136;586.9063
146.38571;127.83384;586.90826
146.38722;127.83181;586.91
146.38803;127.82605;586.9141
146.39009;127.823906;586.91406
146.39346;127.827995;586.9114
146.39122;127.83525;586.9177
146.39604;127.84323;586.9226
146.40327;127.85065;586.9251
146.4088;127.85766;586.926
146.41095;127.85437;586.9282
146.40872;127.84757;586.9319
146.4083;127.84204;586.93634
146.40674;127.84068;586.9413
146.41113;127.844666;586.94366
146.41667;127.855034;586.94684
146.41885;127.86243;586.95013
146.42299;127.863785;586.95294
146.43169;127.87018;586.96124
146.43077;127.868484;586.96423
146.4381;127.870125;586.9651
146.44003;127.86863;586.9716
146.43912;127.8667;586.9754
146.44458;127.86946;586.9811
146.44711;127.87048;586.98315
146.44797;127.872444;586.9898
146.45145;127.8785;586.9952
146.45317;127.88152;586.9979
146.44821;127.87633;587.001
146.4469;127.87728;587.00244
146.45605;127.883835;587.0083
146.45998;127.88927;587.00775
146.46448;127.89455;587.01154
146.46559;127.898094;587.01654
146.46889;127.901695;587.0147
146.47318;127.90422;587.019
146.47107;127.896454;587.0235
146.47417;127.89752;587.0241
146.47667;127.89719;587.0248
146.47815;127.901764;587.02216
146.48123;127.909294;587.0214
146.48375;127.91185;587.02203
146.48383;127.91665;587.02203
146.48619;127.91605;587.0219
146.48688;127.91478;587.0219
146.48534;127.90968;587.02216
146.4865;127.9089;587.0241
146.4949;127.91619;587.02203
146.50658;127.93102;587.0207
146.50862;127.932045;587.0196
146.51147;127.93836;587.01996
146.51332;127.943726;587.01855
146.51418;127.94582;587.01685
146.5146;127.94063;587.0161
146.51697;127.93644;587.0181
146.51944;127.93687;587.01855
146.51979;127.94158;587.0153
146.51514;127.942795;587.01154
146.52357;127.94654;587.0028
146.52621;127.948135;586.9986
146.52345;127.94812;586.99664
146.51895;127.94194;586.99524
146.51791;127.939384;586.9923
146.52028;127.93898;586.9881
146.52176;127.936935;586.98694
146.53218;127.94599;586.98254
146.54092;127.9525;586.9776
146.5368;127.95434;586.9778
146.54243;127.959465;586.9694
146.54012;127.955124;586.96173
146.53716;127.949615;586.9576
146.53883;127.94432;586.95465
146.53731;127.94092;586.9458
146.54015;127.94831;586.942
146.5441;127.94983;586.9399
146.54756;127.95197;586.93286
146.55162;127.95984;586.9253
146.55707;127.96464;586.9241
146.55869;127.96375;586.9198
146.56363;127.96716;586.9063
146.5622;127.96954;586.9038
146.5605;127.974365;586.89514
146.56195;127.975624;586.88635
146.56096;127.97617;586.8788
146.56847;127.98317;586.87146
146.56902;127.98159;586.86475
146.56232;127.97467;586.86176
146.56303;127.97293;586.8581
146.56656;127.96771;586.8483
146.56677;127.96529;586.84174
146.57458;127.97794;586.8398
146.58098;127.98686;586.8284
146.58195;127.99041;586.8269
146.5813;127.99048;586.8167
146.57776;127.98302;586.8159
146.5712;127.97286;586.8134
146.56215;127.96347;586.7986
146.55254;127.95739;586.7913
146.55222;127.95948;586.79114
146.55605;127.96538;586.78766
146.55225;127.966255;586.7804
146.54427;127.965805;586.7637
146.5369;127.96008;586.7502
146.53215;127.95226;586.7501
146.53206;127.951935;586.75037
146.53413;127.95376;586.7495
146.5383;127.95269;586.7353
146.54;127.94899;586.7206
146.54494;127.94642;586.7156
146.55223;127.94523;586.70685
146.55368;127.93896;586.6963
146.55495;127.932236;586.692
146.55676;127.93274;586.6875
146.56044;127.939384;586.6883
146.56837;127.95185;586.70325
146.5691;127.95555;586.687
146.57393;127.95844;586.6679
146.57462;127.96437;586.66003
146.57823;127.97367;586.6418
146.57918;127.98094;586.6465
146.57808;127.98138;586.65106
146.57936;127.98385;586.64197
146.58401;127.98324;586.6248
146.5945;127.99208;586.6239
146.60974;128.00581;586.61835
146.62227;128.01955;586.6086
146.63217;128.02927;586.6031
146.6379;128.0291;586.592
146.63617;128.02425;586.5891
146.63086;128.01387;586.5852
146.62645;128.01332;586.57837
146.62099;128.01598;586.57806
146.6148;128.01163;586.5745
146.60654;128.00035;586.56067
146.5975;127.99189;586.5566
146.59296;127.99489;586.55206
146.58885;127.992004;586.5472
146.58556;127.98562;586.5364
146.58435;127.981895;586.53314
146.59433;127.98249;586.5266
146.592;127.983925;586.51984
146.58774;127.97918;586.5224
146.59093;127.98183;586.51434
146.59322;127.986046;586.5093
146.59152;127.98378;586.50684
146.57974;127.97594;586.4999
146.57248;127.96638;586.49194
146.56631;127.95763;586.4901
146.55902;127.95434;586.4821
146.54906;127.94313;586.473
146.54092;127.92697;586.46814
146.53723;127.92169;586.4645
146.52965;127.9184;586.4591
146.52281;127.91352;586.4551
146.51743;127.91137;586.45184
146.51836;127.914185;586.446
146.52061;127.91357;586.44135
146.51407;127.90691;586.43536
146.51036;127.90713;586.43164
146.5118;127.916;586.4261
146.51332;127.92098;586.42224
146.50888;127.91285;586.4188
146.4995;127.90053;586.41595
146.49841;127.899025;586.41534
146.49756;127.900696;586.4138
146.49872;127.90652;586.41125
146.50262;127.909706;586.409
146.49916;127.91197;586.40186
146.49747;127.91495;586.3967
146.49908;127.91171;586.39307
146.49309;127.89984;586.38684
146.48665;127.89812;586.38666
146.486;127.898094;586.3823
146.49237;127.90708;586.376
146.49109;127.91149;586.37726
146.48827;127.911896;586.3772
146.48688;127.909874;586.3725
146.47977;127.90272;586.36865
146.47313;127.89583;586.3617
146.46869;127.892654;586.3623
146.46686;127.893135;586.35956
146.46683;127.8892;586.35614
146.46445;127.892586;586.3516
146.4648;127.894135;586.3481
146.46576;127.898544;586.34607
146.46658;127.905174;586.34454
146.4628;127.90279;586.34937
146.45572;127.89201;586.3477
146.44699;127.882645;586.3424
146.44531;127.88021;586.3339
146.45107;127.88584;586.3339
146.45494;127.89152;586.3284
146.45883;127.89583;586.327
146.45844;127.89865;586.3279
146.44778;127.89594;586.3219
146.42986;127.89275;586.31555
146.41238;127.88269;586.3134
146.39854;127.86555;586.31366
146.39032;127.85015;586.3097
146.3947;127.8479;586.3091
146.39906;127.8598;586.30676
146.40631;127.87469;586.3019
146.42719;127.88831;586.3014
146.4676;127.912834;586.2989
146.52705;127.969955;586.2961
146.59651;128.05066;586.2942
146.65572;128.16078;586.29285
146.70149;128.32033;586.2945
146.73523;128.50342;586.2942
146.7623;128.68082;586.2918
146.79132;128.83954;586.2858
146.81995;128.97476;586.2836
146.82765;129.1097;586.2809
146.83478;129.26653;586.27844
146.85742;129.40506;586.2782
146.82668;129.47261;586.27545
146.74364;129.51584;586.2734
146.69223;129.539;586.26996
146.65756;129.53183;586.2664
146.622;129.42001;586.2654
146.5769;129.14381;586.2647
146.55104;128.83238;586.263
146.51595;128.54688;586.2611
146.48378;128.2843;586.26
146.44087;128.07915;586.2552
146.39703;127.9283;586.2534
146.36603;127.87389;586.2527
146.36252;127.87644;586.2524
146.38425;127.870125;586.2514
146.42943;127.86648;586.2492
146.47417;127.88155;586.25366
146.50519;127.90346;586.24457
146.51845;127.92539;586.2385
146.52435;127.95627;586.2359
146.52158;127.982994;586.23047
146.51392;127.99692;586.2262
146.50226;128.0006;586.22186
146.48984;128.00471;586.2222
146.4709;128.00014;586.22046
146.45987;127.999825;586.21796
146.44734;128.00403;586.2139
146.43893;128.0003;586.21075
146.4382;127.99532;586.208
146.43848;127.98998;586.2066
146.437;127.981995;586.2036
146.43336;127.975655;586.20215
146.42892;127.96888;586.1995
146.43002;127.9652;586.1957
146.44087;127.974556;586.19666
146.44305;127.98368;586.1926
146.4434;127.98812;586.1858
146.44728;127.993416;586.18396
146.44563;127.993065;586.1824
146.43292;127.980034;586.18256
146.42522;127.97315;586.18317
146.4227;127.97358;586.1804
146.42772;127.97551;586.1721
146.43205;127.98038;586.16943
146.43147;127.98342;586.1682
146.42874;127.98569;586.1639
146.42918;127.98886;586.17206
146.43265;127.98784;586.1727
146.43571;127.99346;586.1682
146.43283;127.993576;586.16833
146.43542;127.99291;586.1738
146.44159;128.0014;586.1476
146.43948;128.00233;586.1407
146.43567;128.00209;586.13763
146.43971;128.00697;586.1285
146.44212;128.0087;586.1268
146.44278;128.01115;586.1261
146.44118;128.01208;586.1189
146.43576;128.00705;586.1173
146.43619;128.00925;586.11346
146.435;128.00658;586.1086
146.43912;128.01077;586.1132
146.43307;128.01335;586.1069
146.43118;128.01866;586.1059
146.42778;128.01671;586.1075
146.42076;128.00844;586.101
146.4197;128.00636;586.0957
146.41489;128.0003;586.091
146.40897;127.997116;586.0863
146.40956;128.00217;586.0747
146.4142;128.01154;586.06384
146.40976;128.00848;586.0587
146.4032;128.00464;586.05225
146.40228;128.00412;586.047
146.40388;128.0051;586.04517
146.41182;128.01187;586.04846
146.4177;128.01717;586.04034
146.41716;128.01706;586.03284
146.41591;128.01984;586.02167
146.41855;128.02446;586.01624
146.42255;128.02332;586.016
146.41939;128.02255;586.0133
146.41583;128.02129;586.009
146.40979;128.01819;585.9989
146.40605;128.02;585.9957
146.40567;128.02087;585.9772
146.40341;128.02565;585.96967
146.40186;128.0236;585.9706
146.40375;128.02028;585.96265
146.39545;128.01349;585.9558
146.3863;128.00345;585.94794
146.37573;127.99346;585.9486
146.37273;127.995346;585.94336
146.37233;128.00435;585.92834
146.38112;128.01692;585.92035
146.39056;128.02625;585.9148
146.39522;128.0348;585.90875
146.39482;128.03146;585.90344
146.38844;128.02765;585.8974
146.3913;128.02838;585.8941
146.39822;128.03528;585.89056
146.40535;128.04422;585.88043
146.41158;128.05186;585.8755
146.42123;128.06546;585.8716
146.42505;128.075;585.86957
146.4253;128.07631;585.8632
146.4325;128.08087;585.8631
146.43988;128.08545;585.8621
146.4415;128.0909;585.8652
146.44238;128.09431;585.865
146.44087;128.0958;585.8519
146.44406;128.10402;585.85016
146.44025;128.10695;585.8514
146.43777;128.10742;585.8529
146.44191;128.11038;585.8607
146.44957;128.11403;585.86285
146.45494;128.11856;585.873
146.4601;128.12747;585.8856
146.46886;128.14116;585.90173
146.47475;128.1517;585.9206
146.4842;128.16212;585.9429
146.49391;128.1708;585.96484
146.49208;128.1713;585.9959
146.49654;128.18173;586.0291
146.49908;128.18413;586.0661
146.50128;128.1904;586.0986
146.50414;128.20363;586.13855
146.51338;128.2147;586.18274
146.52435;128.2279;586.2279
146.5232;128.23569;586.27155
146.5218;128.23593;586.318
146.52292;128.23698;586.3644
146.5216;128.2403;586.40857
146.53764;128.25154;586.45233
146.5433;128.2656;586.4952
146.54962;128.27637;586.5339
146.55685;128.28323;586.57227
146.55785;128.28539;586.6108
146.55826;128.28787;586.6462
146.55876;128.28882;586.6804
146.5605;128.29688;586.71326
146.56589;128.30345;586.7472
146.57483;128.31137;586.778
146.57776;128.31859;586.8072
146.57642;128.3232;586.8355
146.57771;128.32951;586.8639
146.5792;128.33536;586.88837
146.57573;128.33034;586.9104
146.56688;128.3234;586.9351
146.56554;128.3257;586.9589
146.56456;128.32758;586.9799
146.56567;128.33032;587.00116
146.56708;128.33557;587.0187
146.56532;128.33504;587.0356
146.56563;128.33574;587.0513
146.56445;128.32991;587.06805
146.56003;128.32248;587.0823
146.55525;128.31816;587.0939
146.55272;128.3158;587.1051
146.54399;128.31482;587.1168
146.54088;128.31662;587.125
146.5408;128.31544;587.1343
146.54124;128.31473;587.14166
146.52731;128.30154;587.14545
146.5106;128.28032;587.1533
146.51447;128.27315;587.1575
146.51353;128.26457;587.15936
146.50555;128.25749;587.1621
146.50299;128.24992;587.16406
146.49602;128.24126;587.1662
146.4893;128.23737;587.1645
146.48853;128.22978;587.1656
146.47922;128.20682;587.16425
146.46495;128.18108;587.16235
146.45581;128.16206;587.15985
146.44662;128.14459;587.1557
146.44357;128.13995;587.15216
146.44778;128.1363;587.15094
146.44675;128.1273;587.14594
146.44115;128.11699;587.1411
146.43546;128.10294;587.13403
146.43025;128.08473;587.1286
146.42355;128.06459;587.1267
146.41597;128.0546;587.1201
146.41667;128.04936;587.1106
146.40906;128.0337;587.10516
146.3976;128.02275;587.0973
146.39638;128.01607;587.087
146.39041;128.00374;587.0786
146.3778;127.981705;587.06854
146.37866;127.97181;587.0602
146.38159;127.96568;587.0535
146.37086;127.95362;587.04425
146.3631;127.94578;587.03503
146.36057;127.94146;587.0269
146.35764;127.93598;587.0153
146.36005;127.93695;587.0059
146.36096;127.927536;586.9995
146.36322;127.92041;586.9938
146.35507;127.909805;586.98535
146.34804;127.90321;586.97675
146.34645;127.90643;586.96216
146.34035;127.89986;586.9543
146.34586;127.899025;586.9484
146.35245;127.90017;586.9257
146.35889;127.90291;586.92004
146.35698;127.89814;586.9167
146.36049;127.900764;586.9051
146.3624;127.90151;586.9044
146.36414;127.90604;586.8917
146.36748;127.909515;586.8725
146.368;127.90989;586.85944
146.36461;127.90768;586.8514
146.35861;127.90024;586.8398
146.34474;127.88436;586.82874
146.33505;127.875305;586.8196
146.3348;127.86765;586.80914
146.33687;127.86173;586.8023
146.34221;127.87091;586.7949
146.34303;127.873344;586.7846
146.34691;127.876564;586.77466
146.34497;127.88057;586.76605
146.34344;127.87544;586.7602
146.34422;127.87389;586.75446
146.34729;127.87077;586.7512
146.34514;127.865715;586.7456
146.34137;127.86319;586.7362
146.33517;127.85875;586.7229
146.33463;127.85933;586.712
146.34232;127.86956;586.70526
146.3385;127.86822;586.7038
146.32751;127.85907;586.6957
146.32564;127.85275;586.68915
146.32544;127.84569;586.6729
146.327;127.845665;586.6585
146.32404;127.84645;586.6452
146.32797;127.85587;586.63965
146.3323;127.85976;586.63165
146.32729;127.8486;586.61884
146.3155;127.838806;586.61194
146.31367;127.82743;586.6021
146.30713;127.81306;586.5914
146.30437;127.80766;586.58344
146.29817;127.805466;586.57166
146.29039;127.80051;586.56555
146.29448;127.80773;586.55493
146.2902;127.80826;586.54407
146.28331;127.78971;586.5349
146.28282;127.77731;586.5252
146.2783;127.768845;586.51526
146.27419;127.76396;586.5079
146.27335;127.767944;586.49927
146.27063;127.767914;586.4901
146.27731;127.775215;586.4814
146.27444;127.77748;586.4763
146.27585;127.772804;586.4721
146.27234;127.76537;586.4675
146.25523;127.742165;586.46
146.25864;127.737236;586.45245
146.26418;127.745674;586.4447
146.26436;127.74899;586.4423
146.26682;127.75083;586.4379
146.26364;127.751015;586.4334
